"Relative Energy Availability (fraction of Earth)","P Concentration (mol/m^3)","Steady State Biomass (cells/ml)","Flow (Mortality) Rate (same units as growth rate)"
0.39810717055349776,0.015848931924611134,1.735822236449082e8,2.5992597405368
0.5011872336272725,0.015848931924611134,1.918051828147226e8,2.8721344804090125
0.6309573444801942,0.015848931924611134,2.0925493938204506e8,3.1334311084577076
0.7943282347242822,0.015848931924611134,2.2555468743427476e8,3.377507247151053
1.,0.015848931924611134,2.404310124648737e8,3.60026872541323
1.e-8,0.0199526231496888,11.20594710375171,1.413402254914581e-7
1.2589254117941661e-8,0.0199526231496888,14.107451491817752,1.779368003087082e-7
1.5848931924611143e-8,0.0199526231496888,17.76022901855564,2.240091575872516e-7
1.9952623149688786e-8,0.0199526231496888,22.35880327404058,2.820108177680701e-7
2.511886431509582e-8,0.0199526231496888,28.148065291848877,3.550305798283161e-7
3.162277660168379e-8,0.0199526231496888,35.43631411871995,4.469570108891177e-7
3.981071705534969e-8,0.0199526231496888,44.61167533192239,5.626855262758141e-7
5.011872336272725e-8,0.0199526231496888,56.16277009254483,7.083790877301447e-7
6.30957344480193e-8,0.0199526231496888,70.70473595259801,8.917964027958058e-7
7.943282347242822e-8,0.0199526231496888,89.01198487360286,1.1227051030186638e-6
1.e-7,0.0199526231496888,112.0594432603214,1.4134019039335435e-6
1.2589254117941662e-7,0.0199526231496888,141.07447078975585,1.7793674468196684e-6
1.584893192461114e-7,0.0199526231496888,177.602220215028,2.240090694248166e-6
1.9952623149688787e-7,0.0199526231496888,223.5879228621191,2.820106780400445e-6
2.5118864315095823e-7,0.0199526231496888,281.4804777782595,3.5503035837435426e-6
3.162277660168379e-7,0.0199526231496888,354.3628627186385,4.469566599083105e-6
3.981071705534969e-7,0.0199526231496888,446.11631224279876,5.626849700088602e-6
5.011872336272725e-7,0.0199526231496888,561.627002197625,7.083782061067124e-6
6.30957344480193e-7,0.0199526231496888,707.046251879162,8.917950055173798e-6
7.943282347242822e-7,0.0199526231496888,890.1180926201396,0.000011227028884826964
1.e-6,0.0199526231496888,1120.591650405217,0.000014133983941327549
1.2589254117941661e-6,0.0199526231496888,1410.7402970273965,0.00001779361884164664
1.584893192461114e-6,0.0199526231496888,1776.0152121463204,0.00002240081878042839
1.995262314968883e-6,0.0199526231496888,2235.868150669755,0.000028200928076740473
2.5118864315095823e-6,0.0199526231496888,2814.7872199818694,0.00003550281438499309
3.162277660168379e-6,0.0199526231496888,3543.6008009267935,0.00004469531501305556
3.981071705534969e-6,0.0199526231496888,4461.119019211843,0.0000562679407399813
5.011872336272725e-6,0.0199526231496888,5616.200125203664,0.00007083693899930824
6.309573444801943e-6,0.0199526231496888,7070.351740006739,0.00008917810329739372
7.943282347242822e-6,0.0199526231496888,8901.005353833409,0.00011226807436035117
0.00001,0.0199526231496888,11205.638242252633,0.00014133632970835682
0.000012589254117941661,0.0199526231496888,14106.96195919923,0.00017793062595274504
0.00001584893192461114,0.0199526231496888,17759.453171634854,0.00022399937198061394
0.00001995262314968883,0.0199526231496888,22357.573760172905,0.00028199530880249795
0.000025118864315095822,0.0199526231496888,28146.11656775732,0.00035500600012505865
0.000031622776601683795,0.0199526231496888,35433.225575370576,0.0004469180553844705
0.000039810717055349695,0.0199526231496888,44606.78044069658,0.000562623787357754
0.00005011872336272725,0.0199526231496888,56155.012486415035,0.0007082812409245734
0.00006309573444801943,0.0199526231496888,70692.44138809959,0.000891641331616945
0.00007943282347242822,0.0199526231496888,88992.50011321873,0.0011224593428500957
0.0001,0.0199526231496888,112028.56385359174,0.0014130124224349377
0.00012589254117941688,0.0199526231496888,141025.5335949626,0.0017787502043725637
0.00015848931924611142,0.0199526231496888,177524.6670302234,0.002239112518929618
0.00019952623149688788,0.0199526231496888,223465.02332089422,0.002818556652612245
0.0002511886431509582,0.0199526231496888,281285.72286275704,0.003547847147073412
0.00031622776601683794,0.0199526231496888,354054.2524757817,0.0044656741080600455
0.00039810717055349773,0.0199526231496888,445627.3082862249,0.005620681911155831
0.0005011872336272725,0.0199526231496888,560852.2036939899,0.007074009553538319
0.0006309573444801943,0.0199526231496888,705818.7183218183,0.008902467216121543
0.0007943282347242822,0.0199526231496888,888173.4589056068,0.011202501286641938
0.001,0.0199526231496888,1.117511359577107e6,0.014095132339268235
0.0012589254117941688,0.0199526231496888,1.4058618442647106e6,0.017732087084230262
0.001584893192461114,0.0199526231496888,1.7682903160824361e6,0.02230338493280172
0.001995262314968883,0.0199526231496888,2.2236388160298113e6,0.02804667990000047
0.002511886431509582,0.0199526231496888,2.795432496441651e6,0.03525869392302544
0.0031622776601683794,0.0199526231496888,3.5129802576538725e6,0.04430909915367988
0.003981071705534978,0.0199526231496888,4.412697285240385e6,0.05565719907503032
0.005011872336272725,0.0199526231496888,5.539672357445941e6,0.06987169689615584
0.006309573444801942,0.0199526231496888,6.949490682834056e6,0.0876536869407049
0.00794328234724282,0.0199526231496888,8.710299277392862e6,0.10986270517727938
0.01,0.0199526231496888,1.0905060330955772e7,0.13754515085259356
0.012589254117941687,0.0199526231496888,1.363387055902823e7,0.171963540396287
0.01584893192461114,0.0199526231496888,1.7016121628582522e7,0.21462375679716478
0.01995262314968883,0.0199526231496888,2.1192129103521205e7,0.26729559543628684
0.025118864315095822,0.0199526231496888,2.632366015933597e7,0.33201942013382035
0.03162277660168379,0.0199526231496888,3.2592551298772294e7,0.4110887284442571
